ylab,xlab,control,beta,se_hc3,p_value_hc3,r2_adjusted,n,shapiro_p,durbin_watson_stat,breusch_pagan_p
INFORM Coping Capacity (%),TSS (%),None (bivariate),2.778,0.332,0.000,0.295,120.000,0.108,1.863,0.154
INFORM Coping Capacity (%),TSS (%),log1p_funding_per_100k_unocha,2.031,0.412,0.000,0.341,104.000,0.308,1.826,0.094
INFORM Coping Capacity (%),TSS (%),log1p_gdpPerCapita_tpt,-0.592,0.286,0.041,0.763,120.000,0.794,1.676,0.477
INFORM Coping Capacity (%),TSS (%),natural_hazard_inform,2.769,0.367,0.000,0.289,120.000,0.099,1.861,0.125
INFORM Coping Capacity (%),TSS (%),hdi_undp,0.313,0.246,0.207,0.823,118.000,0.218,1.724,0.360
ND-GAIN Readiness (%),TSS (%),None (bivariate),2.599,0.275,0.000,0.465,116.000,0.107,1.932,0.347
ND-GAIN Readiness (%),TSS (%),log1p_funding_per_100k_unocha,1.942,0.318,0.000,0.483,104.000,0.001,2.058,0.414
ND-GAIN Readiness (%),TSS (%),log1p_gdpPerCapita_tpt,0.556,0.229,0.017,0.763,116.000,0.817,1.757,0.539
ND-GAIN Readiness (%),TSS (%),natural_hazard_inform,2.491,0.290,0.000,0.478,116.000,0.179,1.918,0.226
ND-GAIN Readiness (%),TSS (%),hdi_undp,1.141,0.198,0.000,0.772,116.000,0.749,1.611,0.139
ND-GAIN Adaptive Capacity (%),TSS (%),None (bivariate),2.847,0.298,0.000,0.372,116.000,0.030,2.118,0.125
ND-GAIN Adaptive Capacity (%),TSS (%),log1p_funding_per_100k_unocha,2.143,0.344,0.000,0.425,104.000,0.017,2.063,0.089
ND-GAIN Adaptive Capacity (%),TSS (%),log1p_gdpPerCapita_tpt,-0.080,0.269,0.766,0.781,116.000,0.130,2.041,0.277
ND-GAIN Adaptive Capacity (%),TSS (%),natural_hazard_inform,2.838,0.324,0.000,0.366,116.000,0.024,2.116,0.039
ND-GAIN Adaptive Capacity (%),TSS (%),hdi_undp,0.615,0.167,0.000,0.854,116.000,0.870,2.342,0.562
"EM-DAT realized disaster impacts (log1p, 2015-2024, per 100k)",TSS (%),None (bivariate),-0.367,0.073,0.000,0.180,120.000,0.000,2.020,0.815
"EM-DAT realized disaster impacts (log1p, 2015-2024, per 100k)",TSS (%),log1p_funding_per_100k_unocha,-0.323,0.101,0.002,0.196,104.000,0.000,2.235,0.880
"EM-DAT realized disaster impacts (log1p, 2015-2024, per 100k)",TSS (%),log1p_gdpPerCapita_tpt,-0.065,0.110,0.554,0.309,120.000,0.002,2.197,0.094
"EM-DAT realized disaster impacts (log1p, 2015-2024, per 100k)",TSS (%),natural_hazard_inform,-0.304,0.081,0.000,0.287,120.000,0.048,1.998,0.006
"EM-DAT realized disaster impacts (log1p, 2015-2024, per 100k)",TSS (%),hdi_undp,-0.147,0.087,0.095,0.330,118.000,0.001,2.144,0.036
INFORM Coping Capacity (%),"RCRC-VS (log1p, per 100k)",None (bivariate),2.853,1.223,0.022,0.037,109.000,0.007,1.806,0.101
INFORM Coping Capacity (%),"RCRC-VS (log1p, per 100k)",log1p_funding_per_100k_unocha,1.368,1.233,0.270,0.225,97.000,0.236,1.658,0.106
INFORM Coping Capacity (%),"RCRC-VS (log1p, per 100k)",log1p_gdpPerCapita_tpt,0.447,0.688,0.517,0.755,109.000,0.669,1.713,0.907
INFORM Coping Capacity (%),"RCRC-VS (log1p, per 100k)",natural_hazard_inform,2.687,1.237,0.032,0.036,109.000,0.007,1.806,0.129
INFORM Coping Capacity (%),"RCRC-VS (log1p, per 100k)",hdi_undp,0.474,0.690,0.494,0.827,107.000,0.076,1.771,0.253
ND-GAIN Readiness (%),"RCRC-VS (log1p, per 100k)",None (bivariate),3.479,0.954,0.000,0.104,105.000,0.049,1.868,0.051
ND-GAIN Readiness (%),"RCRC-VS (log1p, per 100k)",log1p_funding_per_100k_unocha,1.969,0.924,0.036,0.307,97.000,0.003,1.911,0.130
ND-GAIN Readiness (%),"RCRC-VS (log1p, per 100k)",log1p_gdpPerCapita_tpt,1.643,0.520,0.002,0.789,105.000,0.259,1.802,0.424
ND-GAIN Readiness (%),"RCRC-VS (log1p, per 100k)",natural_hazard_inform,3.032,0.957,0.002,0.144,105.000,0.180,1.836,0.137
ND-GAIN Readiness (%),"RCRC-VS (log1p, per 100k)",hdi_undp,1.817,0.519,0.001,0.761,105.000,0.366,1.713,0.832
ND-GAIN Adaptive Capacity (%),"RCRC-VS (log1p, per 100k)",None (bivariate),1.886,1.148,0.103,0.013,105.000,0.004,1.922,0.039
ND-GAIN Adaptive Capacity (%),"RCRC-VS (log1p, per 100k)",log1p_funding_per_100k_unocha,-0.046,1.078,0.966,0.239,97.000,0.049,1.817,0.077
ND-GAIN Adaptive Capacity (%),"RCRC-VS (log1p, per 100k)",log1p_gdpPerCapita_tpt,-0.492,0.513,0.340,0.800,105.000,0.026,1.913,0.125
ND-GAIN Adaptive Capacity (%),"RCRC-VS (log1p, per 100k)",natural_hazard_inform,1.670,1.162,0.154,0.011,105.000,0.003,1.922,0.061
ND-GAIN Adaptive Capacity (%),"RCRC-VS (log1p, per 100k)",hdi_undp,-0.395,0.494,0.426,0.861,105.000,0.705,2.081,0.627
"EM-DAT realized disaster impacts (log1p, 2015-2024, per 100k)","RCRC-VS (log1p, per 100k)",None (bivariate),-0.391,0.220,0.078,0.025,109.000,0.000,2.010,0.093
"EM-DAT realized disaster impacts (log1p, 2015-2024, per 100k)","RCRC-VS (log1p, per 100k)",log1p_funding_per_100k_unocha,-0.167,0.230,0.468,0.074,97.000,0.000,2.073,0.724
"EM-DAT realized disaster impacts (log1p, 2015-2024, per 100k)","RCRC-VS (log1p, per 100k)",log1p_gdpPerCapita_tpt,-0.160,0.190,0.401,0.279,109.000,0.003,2.126,0.272
"EM-DAT realized disaster impacts (log1p, 2015-2024, per 100k)","RCRC-VS (log1p, per 100k)",natural_hazard_inform,-0.258,0.197,0.193,0.206,109.000,0.164,1.961,0.002
"EM-DAT realized disaster impacts (log1p, 2015-2024, per 100k)","RCRC-VS (log1p, per 100k)",hdi_undp,-0.177,0.193,0.360,0.285,107.000,0.017,2.111,0.077
INFORM Coping Capacity (%),"RCRC-E (log1p, per 100k, CHF)",None (bivariate),4.647,0.694,0.000,0.325,104.000,0.028,1.775,0.001
INFORM Coping Capacity (%),"RCRC-E (log1p, per 100k, CHF)",log1p_funding_per_100k_unocha,3.667,0.648,0.000,0.428,92.000,0.554,1.697,0.541
INFORM Coping Capacity (%),"RCRC-E (log1p, per 100k, CHF)",log1p_gdpPerCapita_tpt,-0.144,0.508,0.777,0.763,104.000,0.841,1.820,0.983
INFORM Coping Capacity (%),"RCRC-E (log1p, per 100k, CHF)",natural_hazard_inform,4.841,0.686,0.000,0.324,104.000,0.021,1.790,0.014
INFORM Coping Capacity (%),"RCRC-E (log1p, per 100k, CHF)",hdi_undp,0.368,0.418,0.381,0.830,102.000,0.113,1.817,0.448
ND-GAIN Readiness (%),"RCRC-E (log1p, per 100k, CHF)",None (bivariate),3.992,0.528,0.000,0.422,100.000,0.497,1.687,0.475
ND-GAIN Readiness (%),"RCRC-E (log1p, per 100k, CHF)",log1p_funding_per_100k_unocha,3.062,0.476,0.000,0.550,92.000,0.102,1.823,0.108
ND-GAIN Readiness (%),"RCRC-E (log1p, per 100k, CHF)",log1p_gdpPerCapita_tpt,0.732,0.401,0.071,0.782,100.000,0.861,1.640,0.603
ND-GAIN Readiness (%),"RCRC-E (log1p, per 100k, CHF)",natural_hazard_inform,3.859,0.542,0.000,0.420,100.000,0.431,1.664,0.451
ND-GAIN Readiness (%),"RCRC-E (log1p, per 100k, CHF)",hdi_undp,1.344,0.368,0.000,0.764,100.000,0.469,1.490,0.531
ND-GAIN Adaptive Capacity (%),"RCRC-E (log1p, per 100k, CHF)",None (bivariate),4.557,0.634,0.000,0.373,100.000,0.130,1.837,0.000
ND-GAIN Adaptive Capacity (%),"RCRC-E (log1p, per 100k, CHF)",log1p_funding_per_100k_unocha,3.647,0.537,0.000,0.487,92.000,0.042,1.771,0.155
ND-GAIN Adaptive Capacity (%),"RCRC-E (log1p, per 100k, CHF)",log1p_gdpPerCapita_tpt,0.262,0.481,0.587,0.801,100.000,0.039,1.855,0.142
ND-GAIN Adaptive Capacity (%),"RCRC-E (log1p, per 100k, CHF)",natural_hazard_inform,4.821,0.624,0.000,0.378,100.000,0.069,1.877,0.001
ND-GAIN Adaptive Capacity (%),"RCRC-E (log1p, per 100k, CHF)",hdi_undp,0.725,0.331,0.031,0.864,100.000,0.410,1.921,0.067
"EM-DAT realized disaster impacts (log1p, 2015-2024, per 100k)","RCRC-E (log1p, per 100k, CHF)",None (bivariate),-0.529,0.108,0.000,0.156,104.000,0.025,2.080,0.089
"EM-DAT realized disaster impacts (log1p, 2015-2024, per 100k)","RCRC-E (log1p, per 100k, CHF)",log1p_funding_per_100k_unocha,-0.448,0.123,0.000,0.183,92.000,0.002,2.142,0.070
"EM-DAT realized disaster impacts (log1p, 2015-2024, per 100k)","RCRC-E (log1p, per 100k, CHF)",log1p_gdpPerCapita_tpt,-0.105,0.130,0.422,0.281,104.000,0.013,2.114,0.189
"EM-DAT realized disaster impacts (log1p, 2015-2024, per 100k)","RCRC-E (log1p, per 100k, CHF)",natural_hazard_inform,-0.383,0.107,0.001,0.278,104.000,0.427,1.958,0.011
"EM-DAT realized disaster impacts (log1p, 2015-2024, per 100k)","RCRC-E (log1p, per 100k, CHF)",hdi_undp,-0.168,0.115,0.147,0.293,102.000,0.041,2.099,0.115
INFORM Coping Capacity (%),"RCRC-FA (log1p, per 100k)",None (bivariate),3.331,0.924,0.001,0.212,67.000,0.529,2.093,0.011
INFORM Coping Capacity (%),"RCRC-FA (log1p, per 100k)",log1p_funding_per_100k_unocha,1.966,0.923,0.038,0.273,60.000,0.313,2.000,0.044
INFORM Coping Capacity (%),"RCRC-FA (log1p, per 100k)",log1p_gdpPerCapita_tpt,-0.307,0.489,0.533,0.776,67.000,0.744,1.948,0.589
