ylab,xlab,control,beta,se_hc3,p_value_hc3,r2_adjusted,n,shapiro_p,durbin_watson_stat,breusch_pagan_p
"EM-DAT realized disaster impacts (log1p, 2015-2024 average, per 100k)",TSS (%),None (bivariate),-0.327285778155009,0.059686413873107,2.40928906214923e-7,0.1840070337458879,120,0.026437355953003006,1.962057563115982,0.8245508179919568
"EM-DAT realized disaster impacts (log1p, 2015-2024 average, per 100k)",TSS (%),log1p_funding_per_100k_unocha,-0.27012776414895656,0.08507669799172249,0.001986178861008383,0.19875670200475837,104,0.0023135815079612957,2.1692480116127824,0.8589027689309923
"EM-DAT realized disaster impacts (log1p, 2015-2024 average, per 100k)",TSS (%),log1p_gdpPerCapita_tpt,-0.029004242072509276,0.08710502895424531,0.7397452211303563,0.3470636635719365,120,0.05031925483976365,2.144109025103934,0.10550570778538099
"EM-DAT realized disaster impacts (log1p, 2015-2024 average, per 100k)",TSS (%),natural_hazard_inform,-0.28042051713513144,0.06545218228571746,3.779844994166104e-5,0.2572816560936706,120,0.5299347171317468,1.9432277267273375,0.005567345098782725
"EM-DAT realized disaster impacts (log1p, 2015-2024 average, per 100k)",TSS (%),hdi_undp,-0.10947557311166163,0.06935286148336851,0.11719070277288406,0.3681896812068999,118,0.046045266245450876,2.120375581136303,0.037581982885328526
"EM-DAT realized disaster impacts (log1p, 2015-2024 average, per 100k)","RCRC-VS (log1p, per 100k)",None (bivariate),-0.30324247658660064,0.19162073741380597,0.11648374229605263,0.01648330476297466,109,0.0019791439793619154,2.0118394922290763,0.12627682311390093
"EM-DAT realized disaster impacts (log1p, 2015-2024 average, per 100k)","RCRC-VS (log1p, per 100k)",log1p_funding_per_100k_unocha,-0.07898499044883277,0.20301134819432123,0.6981066357900808,0.08779626689442521,97,1.9870624930496165e-4,2.0419038284802657,0.8751561449636368
"EM-DAT realized disaster impacts (log1p, 2015-2024 average, per 100k)","RCRC-VS (log1p, per 100k)",log1p_gdpPerCapita_tpt,-0.07940801485950404,0.1653610910035844,0.6320677356663749,0.3170775082663354,109,0.0623928446114771,2.094663630792706,0.2593896612322759
"EM-DAT realized disaster impacts (log1p, 2015-2024 average, per 100k)","RCRC-VS (log1p, per 100k)",natural_hazard_inform,-0.19839514080633727,0.1768549479647451,0.26448403987560165,0.15420136272824192,109,0.12190250662623353,1.9712398370597968,0.0018867532972175118
"EM-DAT realized disaster impacts (log1p, 2015-2024 average, per 100k)","RCRC-VS (log1p, per 100k)",hdi_undp,-0.09064035761960079,0.16674661180126138,0.5878928831371282,0.3293301859668798,107,0.07394040702815081,2.120886222796318,0.1279677656003049
"EM-DAT realized disaster impacts (log1p, 2015-2024 average, per 100k)","RCRC-E (log1p, per 100k, CHF)",None (bivariate),-0.47702568724430194,0.09354408472764156,1.576424039868502e-6,0.15994802780341622,104,0.08053645323387944,2.1042667874500993,0.1537459592991263
"EM-DAT realized disaster impacts (log1p, 2015-2024 average, per 100k)","RCRC-E (log1p, per 100k, CHF)",log1p_funding_per_100k_unocha,-0.39152100354310126,0.10794920488212725,4.777338243802874e-4,0.19524044227210569,92,0.014229656807791131,2.14410107829558,0.06603929596970327
"EM-DAT realized disaster impacts (log1p, 2015-2024 average, per 100k)","RCRC-E (log1p, per 100k, CHF)",log1p_gdpPerCapita_tpt,-0.050407242650202376,0.11796586128861816,0.6700677739093251,0.3213302032198465,104,0.14826372437721616,2.1194518335661936,0.24807185238877869
"EM-DAT realized disaster impacts (log1p, 2015-2024 average, per 100k)","RCRC-E (log1p, per 100k, CHF)",natural_hazard_inform,-0.36979628337965237,0.09642820633710608,2.1874979547723374e-4,0.24052266194752836,104,0.18827115569183805,1.992319678588863,0.01540566392385684
"EM-DAT realized disaster impacts (log1p, 2015-2024 average, per 100k)","RCRC-E (log1p, per 100k, CHF)",hdi_undp,-0.10590804422543584,0.09997115800694327,0.2920019080470458,0.3381470620727297,102,0.16388893396935783,2.1489157308433433,0.18005949251345713
"EM-DAT realized disaster impacts (log1p, 2015-2024 average, per 100k)","RCRC-FA (log1p, per 100k)",None (bivariate),-0.104330130364884,0.1279484364190702,0.4178169233039606,-0.0027362363444003446,67,0.004982369140467804,2.0128691921181914,0.7639851499484472
"EM-DAT realized disaster impacts (log1p, 2015-2024 average, per 100k)","RCRC-FA (log1p, per 100k)",log1p_funding_per_100k_unocha,0.10633246762326963,0.12606721247401598,0.40249783458457045,0.12572286161178248,60,0.0050940251939445855,2.1542261788304,0.48207813231565255
"EM-DAT realized disaster impacts (log1p, 2015-2024 average, per 100k)","RCRC-FA (log1p, per 100k)",log1p_gdpPerCapita_tpt,0.23833332953381073,0.13334646449558524,0.07862014469098802,0.2720225770204131,67,0.08087937925230647,2.205425636591923,0.1100622439172325
"EM-DAT realized disaster impacts (log1p, 2015-2024 average, per 100k)","RCRC-FA (log1p, per 100k)",natural_hazard_inform,-0.1180631103992837,0.11643832703855397,0.31442271897897156,0.16489503154457275,67,0.1552353466682028,1.9235232297887244,0.05847889113753562
"EM-DAT realized disaster impacts (log1p, 2015-2024 average, per 100k)","RCRC-FA (log1p, per 100k)",hdi_undp,0.24111704212926774,0.1358664952360415,0.08078501643972662,0.25187311416745783,66,0.10099687796731632,2.2804067539267763,0.0857363645523026
"EM-DAT realized disaster impacts (log1p, 2015-2024 average, per 100k)",EU-VOL (%),None (bivariate),0.09106766072150571,0.1712139983165161,0.6001302007086904,-0.01950288796477717,24,0.2064250300236273,1.9691508781338734,0.10712277851085236
