ylab,xlab,control,beta,se_hc3,p_value_hc3,r2_adjusted,n,shapiro_p,durbin_watson_stat,breusch_pagan_p
INFORM Coping Capacity (%),EU-VOL (%),None (bivariate),0.4104838709677423,0.4813512501101497,0.4029735906089741,-0.0014853645818075911,24,0.7391986993761094,0.8511706694140243,0.2684271835377297
INFORM Coping Capacity (%),EU-VOL (%),log1p_funding_per_100k_unocha,0.25676294568765234,0.6365789114341078,0.6917199261561457,-0.10441115107184262,20,0.9947422821123452,0.8921601708041924,0.1884959470300464
INFORM Coping Capacity (%),EU-VOL (%),log1p_gdpPerCapita_tpt,-0.48830723123008984,0.6215696017201828,0.4408741658240556,0.13293555561183312,24,0.3332482462133072,1.0698300075995844,0.1902164850598719
INFORM Coping Capacity (%),EU-VOL (%),natural_hazard_inform,0.248503056035196,0.3359298543720138,0.4676434000094818,0.12664567240483782,24,0.8640471200767718,0.9666811817019051,0.6723894300882198
INFORM Coping Capacity (%),EU-VOL (%),hdi_undp,-0.24629308939891384,0.9762619448001243,0.8032760636559534,0.1614048532733262,24,0.47221230839363887,1.2274485231087153,0.021688703078910222
ND-GAIN Readiness (%),EU-VOL (%),None (bivariate),1.1221440497004738,0.399241149258978,0.010185098256253054,0.2679048692527276,24,0.06767180811657471,1.209041751549258,0.2967716768716287
ND-GAIN Readiness (%),EU-VOL (%),log1p_funding_per_100k_unocha,1.2118605247720657,0.849956202634489,0.1720329436078807,0.17921808212823487,20,0.18477804031177897,1.043946001864476,0.2039596065543434
ND-GAIN Readiness (%),EU-VOL (%),log1p_gdpPerCapita_tpt,-0.09567527926245246,0.4814755800253111,0.8443987839317114,0.5518833459615977,24,0.7131330478652143,1.512634678558897,0.0033788532083089667
ND-GAIN Readiness (%),EU-VOL (%),natural_hazard_inform,1.0337132052407791,0.4549129831344643,0.03369486563750301,0.2830167257029753,24,0.05072380980507018,1.2531023434677826,0.3970096212326233
ND-GAIN Readiness (%),EU-VOL (%),hdi_undp,0.16578621415653036,0.33079842549000077,0.6214645076793034,0.6588489077839275,24,0.34984274827795636,1.65648982799136,0.024029468614409386
ND-GAIN Adaptive Capacity (%),EU-VOL (%),None (bivariate),0.662992930233595,0.3110215185740238,0.044449298303073086,0.12483595443308337,24,0.1311718233899597,1.7126907221650551,0.12717798600513222
ND-GAIN Adaptive Capacity (%),EU-VOL (%),log1p_funding_per_100k_unocha,0.4006101061298681,0.463441321269241,0.39938808800361414,0.21374848218418763,20,0.05416026236080364,1.694502714530495,0.6870195306613811
ND-GAIN Adaptive Capacity (%),EU-VOL (%),log1p_gdpPerCapita_tpt,-0.27596018335766154,0.41499790609006354,0.5133083571886088,0.3782295294226665,24,0.10689848046893048,1.9131843388315264,0.3150565693878903
ND-GAIN Adaptive Capacity (%),EU-VOL (%),natural_hazard_inform,0.7504116697444903,0.34742600194468426,0.04249172118150886,0.15918861686925412,24,0.5346975207938586,1.8501486821067021,0.4205878586599076
ND-GAIN Adaptive Capacity (%),EU-VOL (%),hdi_undp,-0.02752443126569481,0.29158192552443707,0.9256887782812759,0.42874016004571225,24,0.21929342678167937,2.1846424706874434,0.6798133344572126
"EM-DAT realized disaster impacts (log1p, 2015-2024, per 100k)",EU-VOL (%),None (bivariate),0.06753286257387997,0.18547451509806914,0.7192530034913054,-0.03598037624291339,24,0.355485231090767,1.813340214831356,0.22044178374221657
"EM-DAT realized disaster impacts (log1p, 2015-2024, per 100k)",EU-VOL (%),log1p_funding_per_100k_unocha,0.055266924212938856,0.47318322574940674,0.9083887630491869,-0.02725071156018366,20,0.6213367286742716,2.179145960298738,0.03368143223868654
"EM-DAT realized disaster impacts (log1p, 2015-2024, per 100k)",EU-VOL (%),log1p_gdpPerCapita_tpt,0.41351666950061317,0.28953166185447243,0.16793139922841585,0.12951187756592109,24,0.07306833630543592,1.6692408277882642,0.7259367778880284
"EM-DAT realized disaster impacts (log1p, 2015-2024, per 100k)",EU-VOL (%),natural_hazard_inform,0.12772985985086344,0.21163406032476692,0.5526127719805749,0.10799415699107562,24,0.6231131775495801,2.0103212375261563,0.38844121112349417
"EM-DAT realized disaster impacts (log1p, 2015-2024, per 100k)",EU-VOL (%),hdi_undp,0.2262113413301432,0.23871027580052892,0.3540911064701512,0.012539739755522916,24,0.4224316119712161,1.7341693533162734,0.7598862766494672
Reliance on non-profits in first days of crisis (%),EU-VOL (%),None (bivariate),0.704032258064516,0.30985296585165034,0.03320279939353635,0.044088018836002885,24,0.05022720137805745,1.9991558127947797,0.3593840923376763
Reliance on non-profits in first days of crisis (%),EU-VOL (%),log1p_funding_per_100k_unocha,0.34546676720579234,0.41552254176913245,0.41727133280136897,0.2383932230771303,20,0.003262858182387906,2.1595375501477942,0.7228053539062707
Reliance on non-profits in first days of crisis (%),EU-VOL (%),log1p_gdpPerCapita_tpt,0.29624463461588524,0.412956733294733,0.481047262514979,0.024520604579616245,24,0.05456940703157836,1.8480801149215933,0.6277077747743807
Reliance on non-profits in first days of crisis (%),EU-VOL (%),natural_hazard_inform,0.9354837992728852,0.486548400689166,0.068186620689102,0.24708277656687905,24,0.13027820407764548,1.8072880594250114,0.3853543538263953
Reliance on non-profits in first days of crisis (%),EU-VOL (%),hdi_undp,0.5067959487137148,0.35770573948030504,0.17120748397992644,0.011715903162550556,24,0.059893864064418434,1.8962506582730638,0.6526756875841805
Trust in emergency services and authorities (%),EU-VOL (%),None (bivariate),0.9846774193548395,0.2858592624370058,0.0023112595026306827,0.2871684510209802,24,0.9109987224092819,2.0363912846450987,0.07811131141466592
Trust in emergency services and authorities (%),EU-VOL (%),log1p_funding_per_100k_unocha,1.075399900837359,0.43973821432570004,0.02564449286505203,0.2740399947168306,20,0.9735904317980166,2.0320011231255086,0.07886922946793753
Trust in emergency services and authorities (%),EU-VOL (%),log1p_gdpPerCapita_tpt,0.37799043862376613,0.6129884689920213,0.5441029022907349,0.3623066756683535,24,0.6395572555781392,1.9346859686446898,0.3117513851625282
Trust in emergency services and authorities (%),EU-VOL (%),natural_hazard_inform,0.9073489519505191,0.322422777520821,0.010394140853377329,0.30590218784993684,24,0.9618791561077263,2.0850999873286393,0.18947267391203879
Trust in emergency services and authorities (%),EU-VOL (%),hdi_undp,0.513459699432319,0.3110777465155371,0.11370135229487377,0.3957299298023541,24,0.1488346593210126,1.9007059775770954,0.43351547486447783
