ylab,xlab,control,beta,se_hc3,p_value_hc3,r2_adjusted,n,shapiro_p,durbin_watson_stat,breusch_pagan_p
INFORM Coping Capacity (%),TSS (%),None (bivariate),2.778396906166569,0.3315994594076941,1.2920583194262245e-13,0.29464766521790087,120,0.108130296625096,1.8625199388992988,0.15384993358860266
INFORM Coping Capacity (%),TSS (%),log1p_funding_per_100k_unocha,2.030976220249077,0.4115489027448046,3.1677261675484313e-6,0.3406141958921167,104,0.3083220668143352,1.826189674504629,0.0941066721747574
INFORM Coping Capacity (%),TSS (%),natural_hazard_inform,2.768667081732243,0.36737482724513254,1.119457290506429e-11,0.2886945987877977,120,0.09870185678328651,1.8610097454924284,0.12473041012620356
INFORM Coping Capacity (%),TSS (%),hdi_undp,0.31266708738114624,0.24615639465114228,0.20657843714506366,0.8234741220808924,118,0.2178526672145379,1.7243239341639485,0.3597749737639912
ND-GAIN Readiness (%),TSS (%),None (bivariate),2.5994724631591275,0.2751339953422781,5.377210199565374e-16,0.46523240624047546,116,0.10745552855668378,1.9316315167016347,0.34729719995547753
ND-GAIN Readiness (%),TSS (%),log1p_funding_per_100k_unocha,1.9423784925694596,0.3181899627652349,1.9274697147109643e-8,0.483398803504954,104,8.69034062583309e-4,2.0582441363953365,0.41358200033075754
ND-GAIN Readiness (%),TSS (%),natural_hazard_inform,2.491041147824504,0.2897490018091258,5.268280226976066e-14,0.4784127201171475,116,0.17900207092221415,1.9183418886620434,0.22609054824140387
ND-GAIN Readiness (%),TSS (%),hdi_undp,1.1413238936536685,0.19834921281261098,7.57327477122149e-8,0.7717971391941029,116,0.7490893196054292,1.611011738266644,0.1394014220597558
ND-GAIN Adaptive Capacity (%),TSS (%),None (bivariate),2.847398411139486,0.29840938505358,3.251176593713589e-16,0.3716383065829669,116,0.030326913963897292,2.118325209247662,0.12528912199055828
ND-GAIN Adaptive Capacity (%),TSS (%),log1p_funding_per_100k_unocha,2.143306447447176,0.34393343565579076,1.074533746717293e-8,0.42521189409156657,104,0.01658751124794471,2.062529120209655,0.08903976165582171
ND-GAIN Adaptive Capacity (%),TSS (%),natural_hazard_inform,2.8379931619051315,0.3237145159871165,2.1523174604297518e-14,0.3661677278288411,116,0.02437499876559115,2.115921893754925,0.039333966461445255
ND-GAIN Adaptive Capacity (%),TSS (%),hdi_undp,0.615179809282238,0.16710241115709698,3.571519373564958e-4,0.854042883265072,116,0.8698328467417281,2.3415838308710586,0.5623137516352736
"EM-DAT realized disaster impacts (log1p, 2015-2024 average, per 100k)",TSS (%),None (bivariate),-0.327285778155009,0.059686413873107,2.40928906214923e-7,0.1840070337458879,120,0.026437355953003006,1.962057563115982,0.8245508179919568
"EM-DAT realized disaster impacts (log1p, 2015-2024 average, per 100k)",TSS (%),log1p_funding_per_100k_unocha,-0.27012776414895656,0.08507669799172249,0.001986178861008383,0.19875670200475837,104,0.0023135815079612957,2.1692480116127824,0.8589027689309923
"EM-DAT realized disaster impacts (log1p, 2015-2024 average, per 100k)",TSS (%),natural_hazard_inform,-0.28042051713513144,0.06545218228571746,3.779844994166104e-5,0.2572816560936706,120,0.5299347171317468,1.9432277267273375,0.005567345098782725
"EM-DAT realized disaster impacts (log1p, 2015-2024 average, per 100k)",TSS (%),hdi_undp,-0.10947557311166163,0.06935286148336851,0.11719070277288406,0.3681896812068999,118,0.046045266245450876,2.120375581136303,0.037581982885328526
Reliance on non-profits in first days of crisis (%),TSS (%),None (bivariate),0.7692132309539675,0.2687658369908222,0.00906033569225269,0.08214811267857447,24,0.05481649001950892,1.9069042192861347,0.45107970745066783
Reliance on non-profits in first days of crisis (%),TSS (%),log1p_funding_per_100k_unocha,0.16297631987438368,0.33657473044152125,0.6344087768985223,0.2284454365808214,20,0.0036628288634248697,2.1541357274554294,0.6739769369125761
Reliance on non-profits in first days of crisis (%),TSS (%),natural_hazard_inform,0.7174041097424521,0.44551948667737595,0.122270236289044,0.20380486429656208,24,0.024051303862595533,1.744264646661824,0.6892602099253553
Reliance on non-profits in first days of crisis (%),TSS (%),hdi_undp,0.764859943262032,0.416483452585454,0.08048585591561669,0.038444216580195256,24,0.05561927352515657,1.9050677661736137,0.6816820762808627
Trust in emergency services and authorities (%),TSS (%),None (bivariate),0.6566584165313463,0.3126075066827227,0.0473613428004744,0.1311350711985474,24,0.8263917459803575,1.9825792921606604,0.5834213056045845
Trust in emergency services and authorities (%),TSS (%),log1p_funding_per_100k_unocha,0.48882942787396094,0.5760262172702167,0.40788192366969545,0.05180098850766979,20,0.6222819911988289,2.029111219885035,0.18896871576763663
Trust in emergency services and authorities (%),TSS (%),natural_hazard_inform,0.6907293034684626,0.26685922347527846,0.01714705501168423,0.2255653940108192,24,0.6574904198473062,2.102402770089654,0.5485880545435076
Trust in emergency services and authorities (%),TSS (%),hdi_undp,-0.2147748687397808,0.6949737392404403,0.7603361138379112,0.34365994367098995,24,0.3785585929987367,1.9332505745540767,0.22000020974196646
INFORM Coping Capacity (%),Paid Staff (%),None (bivariate),4.982123752789037,0.5684771384053197,1.64476092447989e-14,0.35250251239863584,120,0.018574840276457994,1.9112052363206744,0.37726524841879117
INFORM Coping Capacity (%),Paid Staff (%),log1p_funding_per_100k_unocha,3.802046223614411,0.7218301627877023,7.849520830415444e-7,0.3739767879269005,104,0.24780487760786063,1.8389421044445813,0.09289692724728489
INFORM Coping Capacity (%),Paid Staff (%),natural_hazard_inform,4.9941276795123635,0.608967114107038,3.4779505862206376e-13,0.3470085372933851,120,0.01963054317835894,1.913287527209774,0.3434687180049171
INFORM Coping Capacity (%),Paid Staff (%),hdi_undp,0.5803079139328172,0.43754076915389173,0.1873701908635163,0.8239258513886821,118,0.26336966536515116,1.727140702023274,0.37371542732270446
ND-GAIN Readiness (%),Paid Staff (%),None (bivariate),4.497695580958562,0.46834762088729637,2.338966753312367e-16,0.5161476392618075,116,0.3884946161715678,1.9588926333293029,0.015608637682261024
ND-GAIN Readiness (%),Paid Staff (%),log1p_funding_per_100k_unocha,3.5043418594791724,0.5805900818569897,2.6358624591935953e-8,0.5226863115247189,104,0.06539252023200302,2.069579735116494,0.00859105860895231
ND-GAIN Readiness (%),Paid Staff (%),natural_hazard_inform,4.331434906878733,0.487295859551921,1.1304262301863031e-14,0.5260247871941657,116,0.4512823617787719,1.9254029280964675,0.02440710579420832
ND-GAIN Readiness (%),Paid Staff (%),hdi_undp,1.9997734710731416,0.3857881648914915,9.628217346382874e-7,0.7741655886863186,116,0.8641313406982775,1.5912919437006896,0.030619143541127703
ND-GAIN Adaptive Capacity (%),Paid Staff (%),None (bivariate),5.073886255603127,0.45843036179504376,8.855375192693514e-20,0.43805356885359736,116,0.013928858190640553,2.1913223913485025,0.1844898268824707
ND-GAIN Adaptive Capacity (%),Paid Staff (%),log1p_funding_per_100k_unocha,4.030532666525756,0.5716585408743937,2.2557392901190994e-10,0.4722535871972804,104,0.0064098350576746194,2.082891381412442,0.15808637754930946
ND-GAIN Adaptive Capacity (%),Paid Staff (%),natural_hazard_inform,5.0883322227885754,0.4858633918425205,2.3960096437850187e-18,0.43315208918241166,116,0.016469173314169847,2.195126517901749,0.11548306670248518
ND-GAIN Adaptive Capacity (%),Paid Staff (%),hdi_undp,1.1899246164719541,0.2757446917384432,3.4313657484385426e-5,0.8572447151765017,116,0.8492576792120394,2.352538025390199,0.5053025794969666
